black pawn @ a,6 1,6 140 140 0.9375 100.0
black pawn @ a,5 1,5 140 140 0.967741935483871 0.9375
blackRook @b,8 2,8 140 140 0.9375 0.9375
black pawn @ b,6 2,6 140 140 0.967741935483871 0.9375
black pawn @ b,5 2,5 140 140 0.9090909090909091 0.9375
blackKnight @b,8 2,8 140 140 1.0344827586206897 0.9090909090909091
blackKnight @b,4 2,4 140 140 0.9375 0.9090909090909091
blackKnight @d,4 4,4 140 140 0.8571428571428571 0.9090909090909091
blackKnight @e,7 5,7 140 140 1.1538461538461537 0.8571428571428571
blackKnight @a,5 1,5 140 140 0.967741935483871 0.8571428571428571
black pawn @ d,6 4,6 140 140 0.9090909090909091 0.8571428571428571
black pawn @ d,5 4,5 140 140 0.8108108108108109 0.8571428571428571
black Queen @ e,7 5,7 140 140 1.0 0.8108108108108109
black Queen @ f,6 6,6 140 140 0.9375 0.8108108108108109
black Queen @ g,5 7,5 140 140 0.8055555555555556 0.8108108108108109
black Queen @ h,4 8,4 140 140 0.8571428571428571 0.8055555555555556
black pawn @ d,4 4,4 140 140 0.9375 0.8055555555555556
black King @ e,7 5,7 140 140 1.1111111111111112 0.8055555555555556
black pawn @ f,6 6,6 140 140 1.0 0.8055555555555556
black pawn @ f,5 6,5 140 140 0.9090909090909091 0.8055555555555556
black Bishop @ e,7 5,7 140 140 1.0 0.8055555555555556
black Bishop @ d,6 4,6 140 140 1.0 0.8055555555555556
black Bishop @ c,5 3,5 140 140 1.0344827586206897 0.8055555555555556
black Bishop @ b,4 2,4 140 140 0.9090909090909091 0.8055555555555556
black Bishop @ a,3 1,3 140 140 1.0 0.8055555555555556
black pawn @ g,6 7,6 140 140 0.9090909090909091 0.8055555555555556
black pawn @ g,5 7,5 140 140 0.9354838709677419 0.8055555555555556
blackKnight @f,6 6,6 140 140 0.9090909090909091 0.8055555555555556
blackKnight @h,6 8,6 140 140 0.9090909090909091 0.8055555555555556
blackKnight @e,7 5,7 140 140 1.0344827586206897 0.8055555555555556
black pawn @ h,6 8,6 140 140 0.967741935483871 0.8055555555555556
black pawn @ h,5 8,5 140 140 0.9090909090909091 0.8055555555555556
